"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5366","verify click button","chromium","2026-09-08","failed","2026-09-08","","demo-app-tests/MainTest.spec.ts","",""
"","688","verify app heading","chromium","2026-09-08","passed","2026-09-08","","demo-app-tests/MainTest.spec.ts","",""
